name,alias,coarse_categories,fine_categories,cuisines,associated_cuisines,area,countries,region1,region2,region3,region4,region5,text_description
Nasi Campur,"[{'nasi rames': 'Javanese'}, {'ꦤꦱꦶꦫꦩꦼꦱ꧀': 'Javanese'}, {'sego campur': 'Javanese'}, {'ꦱꦼꦒ\u200bꦕꦩ꧀ꦥꦸꦂ': 'Javanese'}]",['rice'],['mixed rice'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish of a scoop of white rice accompanied by small portions of several other dishes, which includes meats, Vegetable, peanuts, eggs, and fried-shrimp krupuk."
Nasi Goreng,[{'name': 'no_alias'}],['rice'],['fried rice'],['Indonesian'],['Indonesian' 'Malaysian' 'Bruneian' 'Singaporean'],"['Indonesia' 'Malaysia' 'Singapore' 'Brunei' 'Southern Thailand'
 'Sri Lanka' 'Suriname' 'Netherlands']",['Indonesia'],South Eastern Asia,,,,,"The rice dish with pieces of meat and Vegetable added and it can refer simply to fried pre-cooked rice, a meal including stir fried rice in a small amount of cooking oil or margarine, typically spiced with sweet soy sauce, shallot, garlic, ground shrimp paste, tamarind and chilli and accompanied by other ingredients, particularly egg, chicken and prawns."
Paella,"[{'paɪˈɛlə': 'English'}, {'paˈeɪjə': 'English'}, {'py-EL-ə': 'English'}, {'pah-AY-yə': 'English'}, {'paˈeʎa': 'Valencian'}, {'paˈeʝa': 'Spanish'}]",['rice'],['mixed rice'],['Spanish'],['Valencian' 'Spanish'],['Valencia'],['Spain'],Southern Europe,,,,,"The dish is traditionally cooked over an open fire with orange tree and pine branches, which add a distinctive smoky flavor. It usually eaten directly from the pan. A cherished layer of scorched rice, called socarrat, forms at the bottom and is enjoyed if not burnt."
Arròs negre,"[{'Arrós negre': 'Valencian'}, {'arroz negro': 'Spanish'}, {'paella negra': 'not_stated'}]",['rice'],['mixed rice'],['Spanish'],['Valencian' 'Catalan'],['Valencia' 'Catalonia'],['Spain'],Southern Europe,,,,,"The dish features white rice cooked with squid ink, giving it a dark color and enhancing its seafood flavor. It includes ingredients like squid or cuttlefish, garlic, green cubanelle peppers, sweet paprika, olive oil, and seafood broth. Some variations also include crab and shrimp."
Jollof Rice,"[{'ceebu jën': 'Wolof'}, {'benachin': 'Wolof'}, {'zaamè': 'Bamanankan'}, {'riz au gras': 'French'}]",['rice'],['fried rice'],['Senegalese'],['Nigerian' 'Ghanaian'],['Nigeria' 'Ghana'],['Nigeria' 'Ghana'],Western Africa,,,,,"The dish is made with long-grain rice, tomatoes, chilies, onions, spices, and sometimes Vegetable or meat, all cooked in a single pot."
Biryani,[{'no_alias': 'not_stated'}],['rice'],['mixed rice'],['South Asian'],"['Iranian' 'Iraqi' 'Burmese' 'Thai' 'Malaysian' 'Indian' 'Pakistani'
 'Bangladeshi']","['Iran' 'Iraq' 'Myanmar' 'Thailand' 'Malaysia' 'India' 'Pakistan'
 'Bangladesh']","['Iran' 'Iraq' 'Myanmar' 'Thailand' 'Malaysia' 'India' 'Pakistan'
 'Bangladesh']",Southern Asia,Western Asia,South Eastern Asia,,,"The dish is a popular South Asian mixed rice dish made with rice, meat (such as chicken, goat, lamb, beef, prawn, or fish), and spices. Vegetarian versions use Vegetable or paneer, and sometimes eggs and potatoes are added."
Khao Phat,"[{'ข้าวผัด': 'Thai'}, {'khao phat': 'RTGS'}]",['rice'],['fried rice'],['Thai'],['Thai'],['Central Thailand'],['Thailand'],South Eastern Asia,,,,,"The dish normally contains meat (chicken, shrimp, and crab are all common), egg, onions, garlic and sometimes tomatoes. The seasonings, which may include soy sauce, sugar, salt, possibly some chili sauce, and the ubiquitous nampla (fish sauce), are stir-fried together with the other ingredients. The dish is then plated and served with accompaniments like cucumber slices, tomato slices, lime and sprigs of green onion and coriander, and phrik nampla, a spicy sauce made of sliced chilies, chopped garlic cloves, fish sauce, lime juice and sugar. "
Hokkien fried rice,"[{'Jyutping': 'Cantonese'}, {'translation': 'not_stated', 'Fujian fried rice': 'not_stated'}]",['rice'],['fried rice'],['Taiwanese'],['Chinese' 'Taiwanese'],['China' 'Taiwan'],['China' 'Taiwan'],Eastern Asia,,,,,"The dish is a fried rice featuring a saucy stir-fried topping on egg fried rice. The topping may include mushrooms, meat, Vegetable, and other ingredients, cooked with water, starch, broth, soy sauce, and oyster sauce."
Yin yang fried rice,"[{'鴛鴦炒飯': 'Chinese'}, {'yuānyāng chǎofàn': 'not_stated'}, {'jyun1 joeng1 caau2 faan6': 'not_stated'}, {'yuenyeung fried rice': 'English'}, {'yuanyang fried rice': 'English'}]",['rice'],['fried rice'],['Chinese' 'Cantonese'],['Chinese' 'Cantonese'],['Hong Kong'],['China'],Eastern Asia,,,,,This dish is a fried rice featuring bechamel sauce and tomato sauce.
Chahan,"[{'チャーハン': 'Japanese'}, {'炒飯': 'Japanese'}, {'焼飯': 'Japanese'}, {'焼き飯': 'Japanese'}, {'Yakimeshi': 'Japanese'}, {'chǎofàn': 'Chinese'}]",['rice'],['fried rice'],['Japanese'],['Japanese'],['Kobe'],['Japan'],Eastern Asia,,,,,"The dish is a Japanese fried rice made in a wok with rice and a variety of ingredients, such as scrambled egg, Vegetable, onion, garlic, mushrooms, tofu, pork, and seafood like crab, roe, and shrimp. It's fried using oils like canola, sesame, or sunflower, and seasoned with soy sauce, oyster sauce, sesame oil, salt, and pepper."
Omurice,"[{'Omu-raisu': 'Japanese'}, {'オムライス': 'Japanese'}]",['rice'],['fried rice'],['Japanese'],['Japanese'],['Ginza' 'Osaka'],['Japan'],Eastern Asia,,,,,"The dish consists of an omelette made with fried rice and thin, scrambled eggs, usually topped with ketchup."
Aligue fried rice,"[{'aligue rice': 'not_stated'}, {'taba ng talangka': 'not_stated'}]",['rice'],['fried rice'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is made by stir-frying pre-cooked rice with crab fat, toasted garlic, spring onions, black pepper, rock salt, and optionally butter. It has a bright orange-yellow color from the crab fat. It can be mixed with seafood like shrimp and squid or served alongside meat dishes."
Java rice,[{'yellow fried rice': 'English'}],['rice'],['fried rice'],['Filipino'],['Filipino'],['Manila'],['Philippines'],South Eastern Asia,,,,,"The dish is a scoop of white rice served with small portions of various dishes, including meats, Vegetable, peanuts, eggs, and fried shrimp crackers."
Sinangag,"[{'garlic fried rice': 'English'}, {'garlic rice': 'English'}]",['rice'],['fried rice'],['Filipino'],['Filipino'],['Philippines' 'Indonesia' 'Malaysia' 'Singapore'],['Philippines' 'Indonesia' 'Malaysia' 'Singapore'],South Eastern Asia,,,,,"The dish is fried rice stir-fried with garlic, using preferably stale rice for a firmer texture. It is garnished with toasted garlic, rock salt, black pepper, and sometimes chopped scallions. The rice grains are ideally loose and not stuck together."
Yangzhou Fried Rice,"[{'揚州炒飯': 'traditional Chinese'}, {'扬州炒饭': 'simplified Chinese'}, {'Yangzhou fried rice': 'English'}, {'Yangchow fried rice': 'English'}, {'Yeung Chow fried rice': 'English'}, {'Yángzhōu chǎofàn': 'Mandarin'}, {'joeng4 zau1 caau2 faan6': 'Cantonese'}]",['rice'],['fried rice'],['Chinese'],['Chinese'],['Yangzhou' 'China'],['China'],Eastern Asia,,,,,"The egg fried rice with mixed Vegetable and two forms of protein, typically pork and shrimp with scallions. "
Donburi,"[{'丼': 'Japanese'}, {'-don': 'Japanese'}, {'domburi': 'Japanese'}, {'丼鉢': 'Japanese'}, {'丼物': 'Japanese'}]",['rice'],['rice bowl'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The rice-bowl dish consisting of fish, meat, Vegetable or other ingredients simmered together and served over rice. "
Akhni,[{}],['rice'],['mixed rice'],['Bangladeshi'],['Bangladeshi'],['Chittagong' 'Sylhet'],['Bangladesh'],Southern Asia,,,,,"The mixed rice and meat dish, a variant of pilaf. "
Akki rotti,[],['rice' 'bread'],['rice' 'bread'],['Canarese'],['Canarese'],['Karnataka'],['India'],Southern Asia,,,,,The dish is a rice-based flatbread made from rice flour.
Ampaw,"[{'ampao': 'Filipino'}, {'arroz inflado': 'Filipino'}, {'pop rice': 'English'}, {'puffed rice': 'English'}, {'ampáw': 'Filipino'}, {'ampáw na mais': 'Filipino'}]",['rice' 'dessert'],['puffed rice'],['Filipino'],['Filipino'],['Visayas'],['Philippines'],South Eastern Asia,,,,,"The dish is made from cooked white rice, which is dried in the sun for around four hours. The rice is then fried in hot oil until puffed, and the oil is drained. The sugar glazing is prepared separately with muscovado sugar or molasses, salt, butter, and vinegar or calamansi juice. The glazing is poured over the puffed rice and mixed until evenly coated. Once cooled, it is shaped into blocks or balls before hardening."
Appam,[{'no_alias': []}],['pancake'],['thin pancake'],['Indian' 'Sri Lankan'],['Indian' 'Sri Lankan' 'Southeast Asian'],['Tamil Nadu' 'Kerala' 'Sri Lanka'],['India' 'Sri Lanka'],Southern Asia,,,,,"The dish is made with a fermented rice batter and coconut milk. They’re cooked in a deep pan like a wok, giving them their unique shape."
Arancini,"[{'Arancini (UK)': 'English'}, {'Arancini (US)': 'English'}, {'arancina': 'Italian'}, {'ô burru': 'Sicilian'}, {'no_alias': 'not_stated'}]",['rice'],['rice ball'],['Italian'],['Italian'],['Sicily'],['Italy'],Southern Europe,,,,,"The dish consists of rice balls that are stuffed, coated with breadcrumbs, and deep-fried. Common fillings include ragù made with slow-cooked meat and tomato sauce, mozzarella or caciocavallo cheese, and peas. Another variation is filled with ham, mozzarella, or béchamel sauce."
Arem-arem,[{'lontong isi': 'not_stated'}],['rice'],['rice cake'],['Indonesian'],['Indonesian'],['Java'],['Indonesia'],South Eastern Asia,,,,,"The dish is a compressed rice cake in a banana leaf, filled with diced Vegetable, tempeh, or oncom. It can also be filled with minced meat or beef floss and is eaten as a snack."
Arroz caldoso,[{'no_alias': []}],['rice' 'soup'],['rice soup'],['Spanish'],['Spanish'],['Spain'],['Spain'],Southern Europe,,,,,"The dish consists of rice cooked in broth, with various seasonings and ingredients. The recipe varies by region, ranging from a risotto-like consistency to a rice soup or a dish resembling paella."
Arroz chaufa,[{'chaufa': 'not_stated'}],['rice'],['fried rice'],['Chinese Peruvian'],['Chinese Peruvian'],['Peru'],['Peru'],South America,,,,,"The dish is a fried rice mix with Vegetable, typically including scallions, eggs, and chicken. It’s cooked quickly at high heat, often in a wok, with soy sauce and oil."
Arroz con gandules,[{'name': 'no_alias'}],['rice'],['fried rice'],['Puerto Rican'],['Puerto Rican'],['Greater Antilles'],['Puerto Rico'],Caribbean,,,,,"The dish is a flavorful rice dish seasoned with sofrito, featuring pigeon peas, meats like ham or chorizo, and annatto oil for color. It is traditionally cooked for special occasions, often with a plantain leaf to enhance the aroma and flavor."
Arroz con huevo frito,[{'no_alias': 'not_stated'}],['rice'],['mixed rice'],['Central American' 'South American'],['Central American' 'South American'],['Central America' 'South America'],['United States'],Northern America,,,,,The dish is made with rice with fried egg.
Arroz con maiz,"[{'name': 'John Doe', 'age': 'not_stated'}, {'name': 'Jane Smith', 'age': 'not_stated'}, {'name': 'Emily Davis', 'age': 'not_stated'}, {'city': 'not_stated'}, {'New York': 'not_stated'}, {'Los Angeles': 'not_stated'}, {'Chicago': 'not_stated'}]",['rice'],['mixed rice'],['Latin American'],['Latin American'],['Cuba' 'Dominican Republic' 'Venezuela' 'Puerto Rico'],['Cuba' 'Dominican Republic' 'Venezuela' 'Puerto Rico'],Caribbean,South America,,,,The dish is made with rice and corn cooked in one pot.
Arroz con pollo,"[{'locrio de pollo': 'Spanish'}, {'lokri': 'not_stated'}, {'locreo': 'not_stated'}]",['rice'],['mixed rice'],['Latin American'],['Latin American'],['Spain'],['Spain'],Southern Europe,,,,,"The dish consists of chicken cooked with rice, onions, saffron, and a potential plethora of other grains or Vegetable."
Arroz de lisa,,['rice'],['mixed rice'],['Colombian'],['Colombian'],['Colombia'],['Colombia'],South America,,,,,"The dish is made with mullet, typically including Vegetable, and spices. It is usually served in a leaf with minced chives, accompanied by bollo, avocado salad, and guarapo. "
Baghali polo,[{'section': 'not_stated'}],['rice'],['mixed rice'],['Iranian'],['Iranian'],['Iran'],['Iran'],Southern Asia,,,,,"The dish consists of rice, fava beans and dill. It is made by cooking rice and green broad beans in boiling water. When cooked, the rice and beans are layered with dill in a pan, and everything is baked in an oven until ready. Saffron water can also be added to the rice.[1] It is typically served with meat. Like other Iranian traditional foods, the dish may be served at special occasions and family gatherings."
Balao-balao,[{'burong hipon': 'not_stated'}],['rice'],['mixed rice' 'shrimp'],['Filipino'],['Filipino'],['Pampanga' 'Bulacan' 'Central Luzon'],['Philippines'],South Eastern Asia,,,,,"The dish is a condiment of cooked rice and whole raw shrimp fermented with salt and angkak.Once stir-fried, it can be eaten as is with rice or used as a dipping sauce for grilled or fried dishes."
Bannu pulao,"[{'بنوں پلاؤ': 'Urdu'}, {'بنو پلاوو': 'Pashto'}, {'Banuse pulao': 'English'}, {'بنوڅۍ پلاوو': 'Pashto'}]",['rice'],['mixed rice'],['Pakistani'],['Pashtun'],['Pakistan' 'United Arab Emirates' 'Saudi Arabia'],['Pakistan' 'United Arab Emirates' 'Saudi Arabia'],Southern Asia,Western Asia,,,,"The dish is made with beef, rice, spices, and stock. The beef is cooked with bones and marrow, which gives the dish a rich and flavorful taste. The rice is cooked separately with ghee, salt, and whole spices. The dish is served with a garnish of onions, green chilies, and lemon wedges."
Bánh chưng,[{'name': 'no_alias'}],['rice'],['rice roll'],['Vietnamese'],['Vietnamese'],['Vietnam'],['Vietnam'],South Eastern Asia,,,,,"The dish is made from glutinous rice, mung beans, pork and other ingredients."
Bah-oân,"[{'肉圓': 'Chinese'}, {'ròuyuán': 'pinyin'}, {'jou4-yüan2': 'Wade–Giles'}, {'bah-oân': 'Pe̍h-ōe-jī'}, {""'meat circle'"": 'English'}]",['dim sum' 'dough'],['dumpling'],['Taiwanese'],['Taiwanese'],['Taiwan' 'China'],['Taiwan' 'China'],Eastern Asia,,,,,The dish is a disk-shaped translucent dough 6–8 cm diameter made of sweet potato starch filled with savory stuffing and served with sweet and savory sauce.
Baye baye,[{'no_alias': 'not_stated'}],['rice'],['rice cake'],['Filipino'],['Filipino'],['Pavia' 'Iloilo'],['Philippines'],South Eastern Asia,,,,,The dish is made from grated young coconut mixed with either newly harvested rice (pinipig) or corn and shaped into patties.
Bhakri,"[{'bhākri': 'not_stated'}, {'bhākkari': 'not_stated'}, {'bhākari': 'not_stated'}, {'bhākhri': 'not_stated'}, {'bhākhari': 'not_stated'}]",['bread'],['flatbread'],['Indian'],['Gujarati' 'Maharashtrian' 'Rajasthan' 'Karnataka'],['Gujarat' 'Maharashtra' 'Rajasthan' 'Karnataka'],['India'],Southern Asia,,,,,The dish is a round flatbread. It is coarser than a regular wheat flatbread. It can be either soft or hard in texture.
Bibimbap,"[{'비빔밥': 'Korean'}, {'bi bim bap': 'not_stated'}, {'bi bim bop': 'not_stated'}]",['rice'],['mixed rice'],['Korean'],['Korean'],['Jeonju' 'Jinju' 'Tongyeong'],['Korea'],Eastern Asia,,,,,"The dish is served as a bowl of warm white rice topped with namul and gochujang. Egg and sliced meat  are common additions, stirred together thoroughly just before eating."
Bibingka,[{'bingka': 'not_stated'}],['dessert'],['rice cake'],['Filipino'],['Filipino'],['Philippines' 'Visayas' 'Mindanao'],['Philippines'],South Eastern Asia,,,,,The dish is a type of baked rice cake that is traditionally cooked in a terracotta oven lined with banana leaves and is usually eaten for breakfast or as mid-afternoon snack especially during the Christmas season.
Biko,"[{""name"": ""no_alias""}]",['dessert'],['rice cake'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is made of coconut milk, brown sugar, and sticky rice.It is usually topped with the coconut curds or the syrupy caramel-like variant."
Binignit,"[{'giná-tan': 'Bikolano'}, {'tabirák': 'Mindanao Cebuano'}, {'alpahor': 'Chavacano'}, {'wit-wit': 'Hiligaynon'}, {'ginettaán': 'Ilokano'}, {'tambo-tambong': 'Ilokano'}, {'paradusdos': 'Ilokano'}, {'ginat-an': 'Waray'}, {'ginat-ang lugaw': 'Hiligaynon/Ilonggo'}, {'kamlo': 'Western Iloilo'}, {'scramble': 'Tuguegarao City'}, {'linugaw': 'Bacolod'}, {'eangkuga': 'Akeanons'}, {'Hiligaynon/Ilonggo': 'not_stated'}, {'Western Iloilo': 'not_stated'}, {'Tuguegarao City': 'not_stated'}, {'Bacolod': 'not_stated'}, {'Akeanons': 'not_stated'}]",['dessert'],['dessert soup'],['Filipino'],['Visayan'],['Visayas' 'Philippines' 'Mindanao'],['Philippines'],South Eastern Asia,,,,,"The dish is traditionally made with glutinous rice cooked in coconut milk with various slices of bananas, taro, ube, and sweet potato, among other ingredients."
Bisi Bele Bath,[{'section': 'not_stated'}],['rice'],['mixed rice'],['Indian'],['Karnataka'],['Karnataka'],['India'],Southern Asia,,,,,"The dish is a spicy, rice-based dish. It involves the use of a spicy masala (huliyanna), toor dal (a type of lentil), rice, ghee and Vegetable.Spices like nutmeg, asafoetida, curry leaves and tamarind pulp contribute to its unique flavour and taste."
Bhel puri,[{'no_alias': 'not_stated'}],['snack'],['chaat'],['Indian'],"['Maharashtrian' 'Nepalese' 'Gujarati' 'Odia' 'Bengali' 'Mysuru'
 'Karnataka']",['Maharashtra' 'Nepal' 'Gujarat' 'Odisha' 'Bengal' 'Mysuru' 'Karnataka'],['India'],Southern Asia,,,,,"The dish is made of puffed rice, crumbled crunchy puri, onions, cilantro and tossed with two chutneys: a green spicy cilantro chutney and a brown tangy tamarind chutney."
Bokkeum-bap,[{'Bokkeum-bap': 'Korean'}],['rice'],['fried rice'],['Korean'],['Korean'],['Korea'],['Korea'],Eastern Asia,,,,,"The dish is made by stir-frying cooked rice with other ingredients in oil. It is a popular end-of-meal add-on.after eating main dishes cooked on a tabletop stove,then cooked rice along with seaweed flakes and sesame oil will be added directly into the remains of the main dish, stir-fried and scorched."
Boudin,[{'no_alias': 'not_stated'}],['meat'],['sausage'],"['French' 'Luxembourgish' 'Belgian' 'Swiss' 'Québec' 'Acadian' 'Aostan'
 'Louisiana Creole' 'Cajun']","['French' 'Luxembourgish' 'Belgian' 'Swiss' 'Québec' 'Acadian' 'Aostan'
 'Louisiana Creole' 'Cajun']","['France' 'Luxembourg' 'Belgium' 'Switzerland' 'Québec' 'Acadia' 'Aosta'
 'Louisiana']","['France' 'Luxembourg' 'Belgium' 'Switzerland' 'Canada' 'United States'
 'Italy']",Western Europe,Northern America,Southern Europe,,,"The dish is essentially pig’s guts filled with blood and other ingredients, such as onions, spinach, etc."
Bubur ayam,[{'no_alias': []}],['rice'],['porridge'],['Indonesian'],['Indonesian'],['Indonesia'],['Indonesia'],South Eastern Asia,,,,,"The dish is rice congee with shredded chicken, served with condiments like chopped scallion, crispy fried shallot, celery, preserved Vegetable, fried soybean, crullers, and soy sauce. It is sometimes topped with yellow chicken broth and crackers"
Burasa,[{'no_alias': []}],['rice'],['rice roll'],['Indonesian'],['Minahasan' 'Indonesian' 'Malaysian'],['South Sulawesi' 'Johor' 'Selangor' 'Sabah' 'Sarawak'],['Indonesia' 'Malaysia'],South Eastern Asia,,,,,"The dish is an Indonesian rice dumpling, cooked with coconut milk packed inside a banana leaf pouch."
Burong isda,"[{'Burong hipon': 'not_stated'}, {'Balao-balao': 'not_stated'}, {'burong bangus': 'not_stated'}]",['fish'],['pickled fish'],['Filipino'],['Filipino'],['Central Luzon'],['Philippines'],South Eastern Asia,,,,,The dish consisting of cooked rice and raw filleted fish fermented with salt and angkak (red yeast rice) for around a week.
Pe htaw bhut htamin,"[{'ထောပတ်ထမင်း': 'Burmese'}, {'butter rice': 'English'}, {'butter and lentil rice': 'English'}]",['rice'],['mixed rice'],['Burmese'],['Burmese'],['Myanmar'],['Myanmar'],South Eastern Asia,,,,,"The dish is a festive rice dish, typically associated with celebratory occasions like wedding receptions or almsgiving feasts. The rice dish is typically paired with a traditional chicken or mutton curry. It uses long-grained paw hsan hmwe or basmati rice, and in its most basic form, is cooked with butter, lentils, and bay leaves.Cashew nuts and raisins may be added, and the dish can be spiced with cinnamon sticks, cardamom pods or cloves, and garnished with fried golden onions to serve."
Cabidela,"[{'arroz de cabidela': 'not_stated'}, {'pato de cabidela': 'not_stated'}, {'pato à cabidela': 'not_stated'}]",['stew'],['chicken stew'],['Portuguese'],['Portuguese'],['Minho'],['Portugal'],Southern Europe,,,,,"The dish is made with poultry, usually a Rooster (chicken). The particularity of the dish is that the hen's blood is added almost at the end, mixed with vinegar (so it doesn't clot) while the rice is boiling."
Champorado,"[{'champorado': 'Spanish'}, {'tsampurado': 'not_stated'}]",['rice'],['porridge'],['Filipino'],['Filipino'],['Philippines'],['Philippines'],South Eastern Asia,,,,,"The dish is traditionally made by boiling sticky rice with tablea (traditional tablets of pure ground roasted cocoa beans). It can be served hot or cold, usually for breakfast or merienda, with a drizzle of milk (or coconut milk) and sugar to taste. It is usually eaten as is, but a common pairing is with salted dried fish (daing or tuyo). "
Chao,[{'Cháo hoa': 'Vietnamese'}],['rice'],['porridge'],['Vietnamese'],['Vietnamese'],['Vietnam'],['Vietnam'],South Eastern Asia,,,,,The dish is a form of savoury rice porridge made by boiling rice in a large amount of water until the rice softens. It is is sometimes cooked with pandan leaves or Asian mung bean. It is a simple breakfast food eaten with pickled Vegetable or fermented tofu.
Chazuke,"[{'Chazuke': 'Japanese'}, {'茶漬け': 'Japanese'}, {'Ochazuke': 'Japanese'}, {'お茶漬け': 'Japanese'}, {'Bubuzuke': 'Japanese'}, {'ぶぶ漬け': 'Japanese'}]",['rice'],['mixed rice'],['Japanese'],['Japanese'],['Japan'],['Japan'],Eastern Asia,,,,,"The dish is made by pouring green tea, dashi, or hot water over cooked rice. This dish provides a way to use leftover rice as a quick snack because it is easy to make."
Chelow,[{'no_alias': 'not_stated'}],['rice'],['mixed rice'],['Iranian'],['Iranian' 'Persian'],['Iran'],['Iran'],Southern Asia,,,,,"The dish is made with rice that is carefully prepared through soaking and parboiling, at which point the water is drained and the rice is steamed. This method results in an exceptionally fluffy rice with the grains separated and not sticky; it also results in a golden rice crust at the bottom of the pot."
Chiayi turkey rice,[{'嘉義火雞肉飯': 'Chinese'}],['rice'],['mixed rice'],['Taiwanese'],['Taiwanese'],['Chiayi County'],['Taiwan'],Eastern Asia,,,,,"The dish is a bowl of rice with shredded turkey layered on top, often accompanied by pickled radish. The rice is drizzled with a kind of gravy made from the turkey drippings and soy sauce."
Chitranna,"[{'Lemon rice': 'English'}, {'ಚಿತ್ರಾನ್ನ': 'Kannada'}]",['rice'],['mixed rice'],['Indian'],['South Indian' 'Karnataka'],['South India' 'Karnataka'],['India'],Southern Asia,,,,,"The dish is prepared by mixing cooked rice with a special seasoning called Oggarane or Gojju. Characteristic for the seasoning are mustard seeds, fried lentils, peanuts, curry leaves, chillies, lemon juice and other optional items such as scrapes of unripe mango."
